                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.69446,                0.65422,                 1.0586,                0.99433,                      1,                  0.995,                0.85404,                0.55508,                 0.6027,                 1.0025,             0.00031373,             0.00031373,             0.00031373
                     84,                0.68566,                0.66237,                 1.0676,                0.99517,                      1,                  0.995,                0.86767,                0.53905,                0.60266,                 0.9932,             0.00029723,             0.00029723,             0.00029723
                     85,                0.68599,                 0.6638,                 1.0638,                0.99517,                      1,                  0.995,                0.86767,                0.53905,                0.60266,                 0.9932,             0.00028072,             0.00028072,             0.00028072
                     86,                0.65497,                0.60343,                 1.0147,                0.99461,                      1,                  0.995,                0.87589,                0.52749,                0.59846,                0.98287,             0.00026422,             0.00026422,             0.00026422
                     87,                0.64455,                0.63945,                 1.0325,                0.99494,                      1,                  0.995,                0.87074,                0.53447,                0.59483,                0.98559,             0.00024772,             0.00024772,             0.00024772
                     88,                0.66669,                0.64458,                 1.0324,                0.99529,                 0.9985,                  0.995,                0.87433,                0.52045,                0.58594,                0.97941,             0.00023121,             0.00023121,             0.00023121
                     89,                0.64115,                0.63451,                 1.0118,                0.99529,                 0.9985,                  0.995,                0.87433,                0.52045,                0.58594,                0.97941,             0.00021471,             0.00021471,             0.00021471
                     90,                0.59053,                0.59734,                 1.0374,                0.99299,                0.99778,                  0.995,                0.88007,                0.50184,                0.57355,                0.97418,             0.00019821,             0.00019821,             0.00019821
                     91,                0.59955,                0.88718,                 1.0411,                0.98941,                0.99808,                  0.995,                0.88259,                0.49663,                0.56983,                0.97317,              0.0001817,              0.0001817,              0.0001817
                     92,                0.57183,                0.83387,                 1.0099,                 0.9877,                0.99809,                  0.995,                0.88181,                0.49316,                0.57647,                0.97099,              0.0001652,              0.0001652,              0.0001652
                     93,                0.56727,                0.81397,                 1.0227,                 0.9877,                0.99809,                  0.995,                0.88181,                0.49316,                0.57647,                0.97099,              0.0001487,              0.0001487,              0.0001487
                     94,                0.56253,                0.79481,                0.98844,                0.98675,                  0.998,                  0.995,                0.87622,                0.48781,                0.58385,                0.96837,             0.00013219,             0.00013219,             0.00013219
                     95,                0.53966,                0.75035,                 0.9764,                0.98601,                0.99797,                  0.995,                0.88325,                 0.4781,                 0.5879,                0.96145,             0.00011569,             0.00011569,             0.00011569
                     96,                0.52477,                0.74369,                 1.0056,                0.98555,                0.99785,                  0.995,                0.87995,                0.46451,                0.59612,                0.95285,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.53602,                0.74768,                0.99272,                0.98555,                0.99785,                  0.995,                0.87995,                0.46451,                0.59612,                0.95285,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.52598,                0.73131,                0.95038,                0.98531,                0.99783,                  0.995,                0.88226,                 0.4531,                0.59571,                0.94597,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.54141,                0.73047,                0.97246,                0.98512,                0.99781,                  0.995,                0.88193,                 0.4479,                0.59556,                0.94249,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.5543,                0.74274,                0.98932,                0.98505,                 0.9978,                  0.995,                0.88412,                0.44086,                0.59048,                0.93898,             3.3173e-05,             3.3173e-05,             3.3173e-05
